DJI,Dow Jones Industrial Average
SPX,S&P 500 Index
HSI,Hang Seng Index
TSLA,Tesla
AAPL,Apple
AMZN,Amazon.com
MSFT,Microsoft
BCO,Boeing
NVDA,NVIDIA
FB,Facebook
AMD,AMD
GOOGL,Alphabet A
V,Visa Inc.
CMC,JPMorgan
BABA,Alibaba
NFLX,Netflix
ZM,Zoom Video
GIS,Gilead
T,AT&T
DIS,Walt Disney
NCB,Bank of America
HD,Home Depot
INTC,Intel
BRK-B,Berkshire Hathaway
ADBE,Adobe
CVX,Chevron
DAL,Delta Air Lines
UNH,UnitedHealth
CCL,Carnival Corp
PFE,Pfizer
MA,Mastercard
BAC,Verizon
C,Citigroup	
SHOP,Shopify Inc
UBER,Uber Tech
SBUX,Starbucks
PG,Procter&Gamble
WFC,Wells Fargo&Co
CSCO,Cisco
SQ,Square Inc
AAL,American Airlines
MCD,McDonaldâ€™s
CRM,Salesforce.com
COST,Costco Wholesale
LMT,Lockheed Martin
AXP,American Express